col1,col2,col3,col4 
_YK0234-1_YK0234-2_YK0234-3_YK0234-4__________________,2018-01-21,Y6094D+,Y3961D
_YK0212-1_YK0212-2_YK0212-3_YK0212-4_YK0212-5_YK0212-6_YK0212-7_YK0212-8______________,2018-01-20,Y6213D+,Y3237D
_Y0211-1_Y0211-2_Y0211-3_Y0211-4_Y0211-5_Y0211-6________________,2018-01-20,Y6094D+,Y3344D
_YK0215-1_YK0215-2_YK0215-3_YK0215-4_YK0215-5_YK0215-6________________,2018-01-20,Y6094D+,Y3438D
_YK0209-1_YK0209-2_YK0209-3_YK0209-1+_YK0209-2+_YK0209-3+_YK0209-4+_______________,2018-01-20,Y5818D+,Y3988D
_LK0210-1_LK0210-2_LK0210-3_LK0210-1+__________________,2018-01-19,L7066D+,L5062D
_LK0206-1_LK0206-2_LK0206-3_LK0206-4_LK0206-5_LK0206-6_LK0206-7_LK0206-8_LK0206-1+_LK0206-2+_LK0206-3+_LK0206-4+__________,2018-01-19,L7066D+,L7609D
_YK0188-1_YK0188-2_YK0188-3_YK0188-4_YK0188-5_________________,2018-01-19,Y6094D+,Y3215D
_YK0183-1_YK0183-2_YK0183-3_YK0183-1+_YK0183-2+_YK0183-3+_YK0183-4+_______________,2018-01-18,Y5924D+,Y3782D
_YK0180-1_YK0180-2_YK0180-3_YK0180-4_YK0180-5_YK0180-6_YK0180-7_YK0180-8______________,2018-01-16,Y5818D+,Y3269D
_YK0174-1_YK0174-2_YK0174-3_YK0174-4_YK0174-5_YK0174-6_YK0174-7_______________,2018-01-15,Y5818D+,Y3449D
__,2018-01-14,L7017D+,L4636D
_YK0136-1_YK0136-2_YK0136-3_YK0136-4_YK0136-5_________________,2018-01-13,Y6035D+,Y3412D
__,2018-01-12,Y6213D+,YHC0777-1
__,2017-12-30,Y724-4+,YJ0030-11
__,2017-12-28,Y6213D+,YH2393-7
_LK0025-1_LK0025-2_LK0025-3_LK0025-4_LK0025-5_LK0025-1+_LK0025-2+_LK0025-3+_LK0025-4+_LK0025-5+____________,2017-12-26,L7070D+,LH2335-2
_YK0025-1_YK0025-2_YK0025-3_YK0025-4_YK0025-5_________________,2017-12-25,Y6213D+,YJC0001-3
__,2017-12-01,Y100-10+,Y10842D
__,2017-11-17,Y932-13+,Y4319D
__,2017-09-30,L7066D+,L5126D
_J0541-1_J0541-2_J0541-3_J0541-4_J0541-5_J0541-6________________,2017-09-28,Y1110-6+,Y4278D
_J0498-1_J0498-2_J0498-3_J0498-4_J0498-5_________________,2017-09-26,Y1110-6+,Y11013D
_J0500-1_J0500-2_J0500-3_J0500-4_J0500-5_J0500-6________________,2017-09-26,Y1110-6+,Y11028D
_J0474-1_J0474-2_J0474-3_J0474-4_J0474-5_J0474-6_J0474-7_______________,2017-09-25,Y1110-6+,Y3926D
_J0429-1_J0429-3_J0429-4_J0429-5_J0429-6_J0429-2________________,2017-09-22,Y0905-12+,Y3731D
_J0387-1_J0387-2____________________,2017-09-20,Y1110-6+,Y11390D
_J0407-1_J0407-2_J0407-3_J0407-4__________________,2017-09-20,Y0697-7+,Y4295D
_J0367-1_J0367-2_J0367-3_J0367-4_J0367-5_J0367-6________________,2017-09-19,L7017D+,Y3948D
_YJ0349-1_YJ0349-2_YJ0349-3_YJ0349-4_YJ0349-5_YJ0349-1+_YJ0349-2+_YJ0349-3+_YJ0349-4+_YJ0349-5+_YJ0349-6+_YJ0349-7+_YJ0349-8+_________,2017-09-14,Y17515+,Y3809D
_YJ0330-1_YJ0330-2_YJ0330-1+_YJ0330-2+_YJ0330-3+_YJ0330-4+_YJ0330-5+_______________,2017-09-10,YG0905+,Y3209D
_J0303-1_J0303-2_J0303-3_J0303-4_J0303-5_J0303-6_J0303-7_______________,2017-09-06,L1262-6+,L7931D
_J0292-1_J0292-2_J0292-3_J0292-4_J0292-5_________________,2017-09-03,Y874-7+,Y3415D
__,2017-08-30,L1040+,L4951D
__,2017-08-27,Y1057-8+,Y3755D
_J0182-1_J0182-2_J0182-3___________________,2017-08-21,Y724-4+,Y3709D
